Entry ID,Crystallization Method,Temp (K),pH,Crystal Growth Procedure,Matthews Coefficient,Percent Solvent Content,Condition 1,Condition 2,Condition 3,Condition 4,Condition 5,Condition 6,Condition 7,Condition 8,Condition 9,Condition 10,Condition 11,Condition 12,Condition 13,Condition 14,Condition 15,Condition 16,Condition 17,Condition 18,Condition 19,Condition 20
8SUC,"VAPOR DIFFUSION, HANGING DROP",277.15,,"0.1 mM Hepes, PEG 4000",3.02,59.29,0.1 mM Hepes, PEG 4000,,,,,,,,,,,,,,,,,,
8TCE,"VAPOR DIFFUSION, SITTING DROP",293,6.5,"1000 mM trisodium citrate pH 7.0, 100 mM HEPES pH 6.0",1.9,35.12,1000 mM trisodium citrate pH 7,100 mM HEPES pH 6,,,,,,,,,,,,,,,,,,
8TI5,"VAPOR DIFFUSION, SITTING DROP",298,,"0.1 M citric acid pH 3.5, 2 M ammonium sulfate",2.42,49.17,0.1 M citric acid pH 3,2 M ammonium sulfate,,,,,,,,,,,,,,,,,,
8TI6,"VAPOR DIFFUSION, SITTING DROP",298,,"0.1 M citric acid pH 4.0, 0.8 M ammonium sulfate",2.04,39.64,0.1 M citric acid pH 4,0.8 M ammonium sulfate,,,,,,,,,,,,,,,,,,
8UCY,"VAPOR DIFFUSION, HANGING DROP",293.15,8.5,"2.0 M ammonium sulphate, 0.1 M Tris, 12 mg/mL SAM protein",2.03,39.33,2.0 M ammonium sulphate,0.1 M Tris,12 mg/mL SAM protein,,,,,,,,,,,,,,,,,
,MICROBATCH,293.15,8.5,"1.0 M ammonium sulphate, 0.1 M Tris, 6.15 mg/mL SeMet SAM protein (0.5uL:0.5uL drop under paratone oil)",,,1.0 M ammonium sulphate,0.1 M Tris,6.15 mg/mL SeMet SAM protein,,,,,,,,,,,,,,,,,
8V9B,"VAPOR DIFFUSION, SITTING DROP",294,6.5,"1.6 M Magnesium Sulfate, 100 mM MES pH 6.5",2.01,38.75,1.6 M Magnesium Sulfate,100 mM MES pH 6,,,,,,,,,,,,,,,,,,
8VF3,"VAPOR DIFFUSION, HANGING DROP",289.15,7.4,"The crystallization buffer was 100 mM Bis-Tris buffer (adjusted to pH 5.0-5.75 with acetic acid), 0.2 M magnesium acetate and 20-32% PEG 3350",2.04,39.7,100 mM Bis-Tris buffer,0.2 M magnesium acetate and 20-32,,,,,,,,,,,,,,,,,,
8YVW,"VAPOR DIFFUSION, SITTING DROP",277,8,"25% PEG 3350, 0.1M magnesium formate, 0.1 M imidazole/HCl buffer, pH8.0, 5 mM L-azetidine-2-carboxylate",2.24,45.17,25% PEG 3350,0.1M magnesium formate,0.1 M imidazole/HCl buffer,5 mM L-azetidine-2-carboxylate,,,,,,,,,,,,,,,,
8Z75,"VAPOR DIFFUSION, HANGING DROP",288,,"0.1 M HEPES, pH 7.5, 21% PEG 8000, 8% Ethylene glycol",2.25,45.44,0.1 M HEPES,21% PEG 8000,8% Ethylene glycol,,,,,,,,,,,,,,,,,
9AVK,"VAPOR DIFFUSION, SITTING DROP",293.15,,"2.4 M Na Malonate pH 7, 0.2 M NaSCN",1.88,34.7,2.4 M Na Malonate pH 7,0.2 M NaSCN,,,,,,,,,,,,,,,,,,
9F4G,"VAPOR DIFFUSION, SITTING DROP",289,8.5,"0.1 M Tris-HCl, pH 8.50, 25% PEG-4000, 8% 2-Methyl-2,4-pentanediol",2.06,40.42,0.1 M Tris-HCl,25% PEG-4000,8% 2-Methyl-2,,,,,,,,,,,,,,,,,
9F4H,"VAPOR DIFFUSION, SITTING DROP",289,8.5,"0.1 M Tris-HCl, pH 8.50, 25% PEG-4000, 8% 2-Methyl-2,4-pentanediol",2.08,40.8,0.1 M Tris-HCl,25% PEG-4000,8% 2-Methyl-2,,,,,,,,,,,,,,,,,
9F4J,"VAPOR DIFFUSION, SITTING DROP",289,8.5,"0.1 M Tris-HCl, pH 8.50, 25% PEG-4000, 8% 2-Methyl-2,4-pentanediol",2.08,40.76,0.1 M Tris-HCl,25% PEG-4000,8% 2-Methyl-2,,,,,,,,,,,,,,,,,
